Fecha,super
2010-05-01,381811.17999999993
2010-06-01,385981.1
2010-07-01,422481.8
2010-08-01,410176.38999999996
2010-09-01,396429.75
2010-10-01,418305.07000000007
2010-11-01,409652.73
2010-12-01,466766.78
2011-01-01,411737.32999999996
2011-02-01,391131.1
2011-03-01,393160.91
2011-04-01,386749.27
2011-05-01,371876.74999999994
2011-06-01,380800.43
2011-07-01,389294.64
2011-08-01,408494.50999999995
2011-09-01,380453.23
2011-10-01,381309.5
2011-11-01,381871.84
2011-12-01,449904.1
2012-01-01,393781.93999999994
2012-02-01,402633.55
2012-03-01,429534.5
2012-04-01,389264.01999999996
2012-05-01,405877.41000000003
2012-06-01,409111.24
2012-07-01,420370.60000000003
2012-08-01,433828.01999999996
2012-09-01,378478.8
2012-10-01,414523.22000000003
2012-11-01,394751.47
2012-12-01,442191.42999999993
2013-01-01,408557.45
2013-02-01,361215.69
2013-03-01,413744.8599999999
2013-04-01,409238.3
2013-05-01,403354.79
2013-06-01,402012.07
2013-07-01,425154.22000000003
2013-08-01,416968.14999999997
2013-09-01,379479.78
2013-10-01,430179.69
2013-11-01,404692.46
2013-12-01,448135.35
2014-01-01,412617.92999999993
2014-02-01,385430.58
2014-03-01,434863.95999999996
2014-04-01,437470.06999999995
2014-05-01,427487.20000000007
2014-06-01,387299.1
2014-07-01,439137.13
2014-08-01,442953.10000000003
2014-09-01,411466.28
2014-10-01,459922.48
2014-11-01,436467.89999999997
2014-12-01,538899.26
2015-01-01,503135.7
2015-02-01,454190.88
2015-03-01,521879.26
2015-04-01,486779.41000000003
2015-05-01,483594.8300000001
2015-06-01,480892.11000000004
2015-07-01,515322.6599999999
2015-08-01,513413.0
2015-09-01,501658.0433333333
2015-10-01,532741.14
2015-11-01,516486.95
2015-12-01,600161.72
2016-01-01,545737.53
2016-02-01,540459.19
2016-03-01,575720.92
2016-04-01,545605.47
2016-05-01,551000.79
2016-06-01,537583.25
2016-07-01,562778.84
2016-08-01,585748.5
2016-09-01,548491.65
2016-10-01,573754.73
2016-11-01,547323.5299999999
2016-12-01,615251.51
2017-01-01,546212.16
2017-02-01,526888.94
2017-03-01,592249.34
2017-04-01,530345.96
2017-05-01,588861.62
2017-06-01,549378.05
2017-07-01,607702.7
2017-08-01,604650.34
2017-09-01,560892.67
2017-10-01,583658.83
2017-11-01,563345.61
2017-12-01,635423.76
2018-01-01,581802.98
2018-02-01,545210.01
2018-03-01,618402.18
2018-04-01,565665.72
2018-05-01,570129.66
2018-06-01,554431.5
2018-07-01,589775.97
2018-08-01,593659.63
2018-09-01,551547.83
2018-10-01,579478.53
2018-11-01,573687.35
2018-12-01,654281.25
2019-01-01,601717.9
2019-02-01,565421.02
2019-03-01,610720.58
2019-04-01,598932.3
2019-05-01,611615.32
2019-06-01,595748.38
2019-07-01,615538.33
2019-08-01,632420.7
2019-09-01,587866.84
2019-10-01,643045.33
2019-11-01,620568.21
2019-12-01,682475.14
2020-01-01,622328.27
2020-02-01,633100.05
2020-03-01,509753.28
2020-04-01,391768.4
2020-05-01,407477.83
2020-06-01,388963.67
2020-07-01,462383.95
2020-08-01,574379.33
2020-09-01,610445.1
2020-10-01,648582.82
2020-11-01,639856.62
2020-12-01,760695.45
2021-01-01,655503.47
2021-02-01,621730.81
2021-03-01,692228.61
2021-04-01,610290.32
2021-05-01,643104.75
2021-06-01,637338.03
2021-07-01,665475.44
2021-08-01,636801.3
2021-09-01,605278.4
2021-10-01,675818.23
2021-11-01,641916.39
2021-12-01,768107.97
2022-01-01,621512.78
2022-02-01,592106.14
2022-03-01,598038.47
2022-04-01,569199.43
2022-05-01,483991.63
2022-06-01,507260.42
2022-07-01,554496.9
2022-08-01,581844.42
2022-09-01,570632.2
2022-10-01,573943.48
2022-11-01,572163.23
2022-12-01,635953.46
2023-01-01,599501.29
2023-02-01,544144.0
2023-03-01,656941.64
2023-04-01,586642.2
2023-05-01,646221.2
2023-06-01,616290.21
2023-07-01,642098.16
2023-08-01,632333.4
2023-09-01,597670.26
2023-10-01,531542.58
2023-11-01,632180.03
2023-12-01,691389.62
2024-01-01,658083.66
2024-02-01,654059.6
2024-03-01,671997.05
2024-04-01,633520.57
2024-05-01,692427.94
2024-06-01,629424.37
2024-07-01,684082.47
2024-08-01,707708.07
2024-09-01,685834.74
2024-10-01,790948.04
2024-11-01,699028.58
2024-12-01,773715.97
2025-01-01,702319.64
2025-02-01,651035.74
2025-03-01,763939.48
2025-04-01,746081.22
2025-05-01,761100.59
